Code|State_Country
T7|YEMEN
T8|SIERRA LEONE
TN|TENNESSEE
TX|TEXAS
U0|SINGAPORE
U1|SOMALIA
U3|SPAIN
U5|WESTERN SAHARA
U7|SAINT KITTS AND NEVIS
U8|SAINT HELENA
U9|SAINT LUCIA
UT|UTAH
V0|SAINT PIERRE AND MIQUELON
V1|SAINT VINCENT AND THE GRENADINES
V2|SUDAN
V3|SURINAME
V6|SWAZILAND
V7|SWEDEN
V8|SWITZERLAND
V9|SYRIAN ARAB REPUBLIC
VA|VIRGINIA
VI|VIRGIN ISLANDS, U.S.
VT|VERMONT
W0|TANZANIA, UNITED REPUBLIC OF
W1|THAILAND
W2|TOGO
W3|TOKELAU
W4|TONGA
W5|TRINIDAD AND TOBAGO
W6|TUNISIA
W7|TURKS AND CAICOS ISLANDS
W8|TURKEY
W9|UGANDA
WA|WASHINGTON
WI|WISCONSIN
WV|WEST VIRGINIA
WY|WYOMING
X0|UNITED KINGDOM
X1|UNITED STATES
X2|BURKINA FASO
X3|URUGUAY
X4|HOLY SEE (VATICAN CITY STATE)
X5|VENEZUELA
X8|WALLIS AND FUTUNA
XX|UNKNOWN
Y0|SAMOA
Y3|CONGO, THE DEMOCRATIC REPUBLIC OF THE
Y4|ZAMBIA
Y5|ZIMBABWE
Y6|ALAND ISLANDS
Y7|GUERNSEY
Y8|ISLE OF MAN
Y9|JERSEY
Z0|SAINT BARTHELEMY
Z1|SAINT MARTIN
Z2|SERBIA
Z3|TIMOR-LESTE
Z4|CANADA (Federal Level)
Z5|MONTENEGRO
